case_name,cell_index,execution_count,previous_execution_count,was_executed,out_of_order,source_length,line_count,has_fit,has_predict,has_transform,has_drop,has_remove,has_inplace,has_read_csv,has_read_excel,has_gpu_keyword,has_train_test_split,has_exception_keyword,has_model_keyword,source_changed_in_fixed,execution_changed_in_fixed,label,syntax_valid,num_assignments,num_function_defs,num_class_defs,num_function_calls,num_imports,num_if,num_for,num_while,num_try,num_with,num_returns,num_names_loaded,num_names_stored,num_attributes,num_subscripts,num_constants,code_risk_label,execution_risk_label,combined_risk_label
lightgbm_1,1,1,-1,1,0,106,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,2,2,1,1,0,294,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,1,0,0,0,0,0,0,0,2,10,3,0,10,0,0,0
lightgbm_1,3,3,2,1,0,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,4,4,3,1,0,558,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,9,0,2,0,0,0,0,0,20,7,14,2,6,0,0,0
lightgbm_1,5,5,4,1,0,62,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0
lightgbm_1,6,-1,5,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
lightgbm_1,7,6,-1,1,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,8,7,6,1,0,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
lightgbm_1,9,8,7,1,0,193,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,9,0,0,9,9,0,0,0
lightgbm_1,10,9,8,1,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
lightgbm_1,11,-1,9,0,0,518,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,11,0,0,0,0,0,0,0,16,4,15,3,11,0,0,0
lightgbm_1,12,10,-1,1,0,158,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,6,3,6,4,6,0,0,0
lightgbm_1,13,11,10,1,0,179,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,2,2,2,0,8,0,0,0
lightgbm_1,14,12,11,1,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
lightgbm_1,15,13,12,1,0,271,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,1,0,0,0,0,0,0,10,4,4,1,1,0,0,0
lightgbm_1,16,14,13,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,17,-1,14,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0
lightgbm_1,18,-1,-1,0,0,1239,29,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,20,0,0,3,0,0,0,0,49,16,27,6,34,0,0,0
lightgbm_1,19,15,-1,1,0,430,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,5,0,0,0,0,0,0,0,12,5,5,3,9,0,0,0
