case_name,cell_index,execution_count,fixed_execution_count,previous_execution_count,was_executed,out_of_order,source_length,line_count,has_import,has_fit,has_predict,has_drop,has_remove,has_transform,has_train_test_split,has_dataframe,has_gpu_keyword,has_file_read,has_inplace,source_changed_in_fixed,execution_changed_in_fixed,label
lightgbm_1,1,1,1,-1,1,0,106,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0
lightgbm_1,2,2,2,1,1,0,294,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,3,3,3,2,1,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,4,4,4,3,1,0,558,13,0,0,0,1,0,0,0,1,0,1,0,0,0,0
lightgbm_1,5,5,5,4,1,0,62,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lightgbm_1,6,-1,-1,5,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,7,6,6,-1,1,0,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,8,7,7,6,1,0,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,9,8,8,7,1,0,193,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lightgbm_1,10,9,9,8,1,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,11,-1,-1,9,0,0,518,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0
lightgbm_1,12,10,10,-1,1,0,158,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,13,11,11,10,1,0,179,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lightgbm_1,14,12,12,11,1,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,15,13,13,12,1,0,271,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0
lightgbm_1,16,14,14,13,1,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,17,-1,-1,14,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,18,-1,-1,-1,0,0,1239,29,0,0,0,0,0,1,0,1,0,0,0,0,0,0
lightgbm_1,19,15,15,-1,1,0,430,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0
lightgbm_1,20,16,16,15,1,0,605,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lightgbm_1,21,17,17,16,1,0,134,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
lightgbm_1,22,18,18,17,1,0,332,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,23,19,19,18,1,0,62,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lightgbm_1,24,-1,-1,19,0,0,2078,64,0,1,1,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,25,20,20,-1,1,0,907,24,0,1,1,0,0,0,0,0,0,0,0,1,0,1
lightgbm_1,26,21,21,20,1,0,99,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1
lightgbm_1,27,-1,-1,21,0,0,138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,28,-1,-1,-1,0,0,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,29,-1,-1,-1,0,0,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,30,-1,-1,-1,0,0,911,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,31,-1,-1,-1,0,0,99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,32,-1,-1,-1,0,0,135,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,33,-1,-1,-1,0,0,917,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,34,-1,-1,-1,0,0,111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,35,-1,-1,-1,0,0,154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,36,-1,-1,-1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,37,-1,-1,-1,0,0,542,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,38,-1,-1,-1,0,0,484,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,39,-1,-1,-1,0,0,501,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,40,-1,-1,-1,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,41,-1,-1,-1,0,0,358,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,42,-1,-1,-1,0,0,111,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lightgbm_1,43,-1,-1,-1,0,0,374,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,44,-1,-1,-1,0,0,100,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lightgbm_1,45,-1,-1,-1,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightgbm_1,46,-1,-1,-1,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,1,1,1,-1,1,0,52,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,2,-1,-1,1,0,0,610,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,3,-1,-1,-1,0,0,132,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,4,-1,-1,-1,0,0,148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,5,-1,-1,-1,0,0,262,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,6,2,2,-1,1,0,200,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,7,3,3,2,1,0,305,10,1,0,0,0,0,0,0,0,0,0,0,1,0,1
matplotlib_1,8,-1,-1,3,0,0,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,9,-1,-1,-1,0,0,393,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,10,-1,-1,-1,0,0,263,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,11,-1,-1,-1,0,0,1713,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,12,-1,-1,-1,0,0,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,13,-1,-1,-1,0,0,80,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,14,-1,-1,-1,0,0,221,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,15,-1,-1,-1,0,0,504,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,16,-1,-1,-1,0,0,323,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,17,-1,-1,-1,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,18,-1,-1,-1,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,19,-1,-1,-1,0,0,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,20,-1,-1,-1,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,21,-1,-1,-1,0,0,763,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,22,-1,-1,-1,0,0,323,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,23,-1,-1,-1,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,24,-1,-1,-1,0,0,570,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_1,25,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,1,-1,-1,-1,0,0,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,2,1,1,-1,1,0,1646,54,1,0,0,0,0,0,1,0,0,0,0,0,0,0
matplotlib_2,3,2,2,1,1,0,1491,52,1,0,0,0,0,0,0,1,0,0,0,0,0,0
matplotlib_2,4,3,3,2,1,0,173,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
matplotlib_2,5,4,4,3,1,0,460,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,6,5,5,4,1,0,698,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,7,6,6,5,1,0,1502,46,1,0,0,0,0,1,0,0,0,0,0,0,0,0
matplotlib_2,8,-1,-1,6,0,0,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,9,7,7,-1,1,0,223,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1
matplotlib_2,10,-1,-1,7,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,11,-1,-1,-1,0,0,505,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0
matplotlib_2,12,-1,-1,-1,0,0,870,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,13,-1,-1,-1,0,0,50,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
matplotlib_2,14,-1,-1,-1,0,0,1517,45,1,0,0,0,0,0,0,0,1,0,0,0,0,0
matplotlib_2,15,-1,-1,-1,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,16,-1,-1,-1,0,0,171,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,17,-1,-1,-1,0,0,888,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0
matplotlib_2,18,-1,-1,-1,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,19,-1,-1,-1,0,0,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,20,-1,-1,-1,0,0,656,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,21,-1,-1,-1,0,0,42,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
matplotlib_2,22,-1,-1,-1,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_2,23,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib_3,1,1,1,-1,1,0,819,28,1,0,0,0,0,0,1,0,0,0,0,0,0,0
matplotlib_3,2,-1,-1,1,0,0,380,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
